"series_id","series_label","year","date","growth_rate","index_value","population","anchor_year","anchor_index_value","index_vs_anchor_100","is_anchor_year"
"gdp","Real GDP",1830,1830-12-31,0,100,891857,2025,38677.8871053934,0.258545663902245,FALSE
"gdp","Real GDP",1831,1831-12-31,0.207547169811321,120.754716981132,916913,2025,38677.8871053934,0.312206084712144,FALSE
"gdp","Real GDP",1832,1832-12-31,-0.015625,118.867924528302,944636,2025,38677.8871053934,0.307327864638517,FALSE
"gdp","Real GDP",1833,1833-12-31,0,118.867924528302,975153,2025,38677.8871053934,0.307327864638517,FALSE
"gdp","Real GDP",1834,1834-12-31,0.0317460317460319,122.641509433962,1006655,2025,38677.8871053934,0.317084304785771,FALSE
"gdp","Real GDP",1835,1835-12-31,0.0461538461538462,128.301886792453,1039176,2025,38677.8871053934,0.331718965006654,FALSE
"gdp","Real GDP",1836,1836-12-31,0.382352941176471,177.358490566038,1072746,2025,38677.8871053934,0.458552686920963,FALSE
"gdp","Real GDP",1837,1837-12-31,-0.0212765957446809,173.584905660377,1107401,2025,38677.8871053934,0.448796246773707,FALSE
"gdp","Real GDP",1838,1838-12-31,-0.0326086956521739,167.924528301887,1143176,2025,38677.8871053934,0.434161586552826,FALSE
"gdp","Real GDP",1839,1839-12-31,0.191011235955056,200,1174262,2025,38677.8871053934,0.517091327804489,FALSE
"gdp","Real GDP",1840,1840-12-31,-0.00943396226415094,198.11320754717,1200461,2025,38677.8871053934,0.512213107730862,FALSE
"gdp","Real GDP",1841,1841-12-31,0.171428571428571,232.075471698113,1221565,2025,38677.8871053934,0.600021069056152,FALSE
"gdp","Real GDP",1842,1842-12-31,0.089430894308943,252.830188679245,1237361,2025,38677.8871053934,0.653681489866051,FALSE
"gdp","Real GDP",1843,1843-12-31,-0.17910447761194,207.547169811321,1247627,2025,38677.8871053934,0.536604208098999,FALSE
"gdp","Real GDP",1844,1844-12-31,0.109090909090909,230.188679245283,1257979,2025,38677.8871053934,0.595142848982525,FALSE
"gdp","Real GDP",1845,1845-12-31,0.0573770491803278,243.396226415094,1268416,2025,38677.8871053934,0.629290389497915,FALSE
"gdp","Real GDP",1846,1846-12-31,0.054263565891473,256.603773584906,1278941,2025,38677.8871053934,0.663437930013308,FALSE
