"metric","value"
"source","IMF DataMapper / WEO"
"derived_indicator_id","DERIVED_NGDP_RPCH_LP_PC"
"derived_indicator_name","Derived real GDP per capita growth from WEO real GDP growth and population"
"component_indicators","NGDP_RPCH;LP"
"maddison_country_count","169"
"component_country_count","163"
"derived_country_count","163"
"row_count","7710"
"year_min","1981"
"year_max","2031"
"countries_leftout","CSK;CUB;PRK;PSE;SUN;YUG"
