"country","country_code","year","indicator_value","gdp_per_capita","highlight_group"
"Morocco","MAR",2024,4.97,10793.549,"Resto del mundo"
"Mozambique","MOZ",2024,3.38,1697.196,"Resto del mundo"
"Myanmar","MMR",2024,0.96,5038.592,"Resto del mundo"
"Namibia","NAM",2024,6.48,11861.25,"Resto del mundo"
"Nepal","NPL",2024,4.6,5744.948,"Resto del mundo"
"Netherlands","NLD",2024,9,81354.404,"Resto del mundo"
"New Zealand","NZL",2024,9.61,54549.238,"Resto del mundo"
"Nicaragua","NIC",2024,2.09,9050.282,"LatAm emergente"
"Niger","NER",2024,2.26,1989.384,"Resto del mundo"
"Nigeria","NGA",2024,4.16,9099.862,"Resto del mundo"
"North Macedonia","MKD",2024,6.28,27835.289,"Resto del mundo"
"Norway","NOR",2024,9.81,107943.564,"Resto del mundo"
"Oman","OMN",2024,3.05,42304.162,"Resto del mundo"
"Pakistan","PAK",2024,2.84,6743.385,"Resto del mundo"
"Panama","PAN",2024,6.84,41485.021,"LatAm emergente"
"Paraguay","PRY",2024,5.92,20258.753,"LatAm emergente"
"Peru","PER",2024,5.69,18238.969,"LatAm emergente"
"Philippines","PHL",2024,6.63,12120.826,"Resto del mundo"
"Poland","POL",2024,7.4,52205.98,"Resto del mundo"
"Portugal","PRT",2024,8.08,48323.807,"Resto del mundo"
"Qatar","QAT",2024,3.17,114758.203,"Resto del mundo"
"Romania","ROU",2024,5.99,46787.965,"Resto del mundo"
"Russia","RUS",2024,2.03,48119.003,"Resto del mundo"
"Rwanda","RWA",2024,3.34,3892.869,"Resto del mundo"
"Saudi Arabia","SAU",2024,2.08,71936.189,"Resto del mundo"
"Senegal","SEN",2024,5.93,5038.758,"Resto del mundo"
"Serbia","SRB",2024,6.26,30966.504,"Resto del mundo"
"Sierra Leone","SLE",2024,4.32,3527.433,"Resto del mundo"
"Singapore","SGP",2024,6.18,153161.044,"Resto del mundo"
"Slovakia","SVK",2024,7.21,45952.755,"Resto del mundo"
"Slovenia","SVN",2024,7.82,55914.37,"Resto del mundo"
"South Africa","ZAF",2024,7.16,15895.477,"Resto del mundo"
"South Korea","KOR",2024,7.75,62885.478,"Resto del mundo"
"Spain","ESP",2024,8.13,54674.716,"Resto del mundo"
"Sri Lanka","LKA",2024,6.19,15655.282,"Resto del mundo"
"Sudan","SDN",2024,1.46,2346.186,"Resto del mundo"
"Sweden","SWE",2024,9.39,71536.362,"Resto del mundo"
"Switzerland","CHE",2024,9.32,98728.608,"Resto del mundo"
"Taiwan","TWN",2024,8.78,80390.306,"Resto del mundo"
"Tajikistan","TJK",2024,1.83,5626.255,"Resto del mundo"
"Tanzania","TZA",2024,5.2,4119.705,"Resto del mundo"
"Thailand","THA",2024,6.27,24917.534,"Resto del mundo"
"Togo","TGO",2024,2.99,3352.215,"Resto del mundo"
"Trinidad and Tobago","TTO",2024,7.09,34857.18,"LatAm emergente"
"Tunisia","TUN",2024,4.71,14461.578,"Resto del mundo"
"Turkey","TUR",2024,4.26,41549.109,"Resto del mundo"
"Turkmenistan","TKM",2024,1.66,22168.508,"Resto del mundo"
"Uganda","UGA",2024,4.49,3682.423,"Resto del mundo"
"Ukraine","UKR",2024,4.9,19782.894,"Resto del mundo"
"United Arab Emirates","ARE",2024,3.07,77185.205,"Resto del mundo"
"United Kingdom","GBR",2024,8.34,63071.834,"Resto del mundo"
"United States","USA",2024,7.85,86173.365,"Resto del mundo"
"Uruguay","URY",2024,8.67,35494.42,"LatAm emergente"
"Uzbekistan","UZB",2024,2.1,12124.514,"Resto del mundo"
"Venezuela","VEN",2024,2.25,8570.132,"Venezuela"
"Vietnam","VNM",2024,2.62,16337.37,"Resto del mundo"
"Yemen","YEM",2024,1.95,1601.375,"Resto del mundo"
"Zambia","ZMB",2024,5.73,4221.01,"Resto del mundo"
"Zimbabwe","ZWE",2024,2.98,7376.624,"Resto del mundo"
