"series_id","series_label","benchmark_year","benchmark_index_value","anchor_year","anchor_index_value","growth_rate","recovery_ratio","already_recovered","years_to_recover","recovery_year","status"
"gdp","Real GDP",2012,136538.855530955,2025,38677.8871053934,0.05,3.53015290517034,FALSE,26,2051,"recovering"
"gdp_per_capita","Real GDP per capita",2012,4098.77156065205,2025,1209.63881763832,0.05,3.38842595069364,FALSE,26,2051,"recovering"
