"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","is_venezuela","horizon_years_after_end","endpoint_year","horizon_index_start_100","horizon_years","horizon_label","fall_magnitude","horizon_ratio_to_start","total_years_from_start","horizon_cagr","post_disaster_ratio_to_end","post_disaster_cagr","highlight","reference_label","is_source_reference"
"FMI WEO (PIB per cápita)","imf_weo_TJK_1","Tajikistan (1993-1996)","TJK","Tajikistan",1993,1996,-0.36108348788143,3,FALSE,5,2001,76.7569715997381,5,"5 años después",0.36108348788143,0.767569715997381,8,-0.0325250501669186,1.20136152601881,0.0373725308324737,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_MDA_1","Republic of Moldova (1993-1996)","MDA","Republic of Moldova",1993,1996,-0.356922859035811,3,FALSE,5,2001,64.626000878321,5,"5 años después",0.356922859035811,0.64626000878321,8,-0.0531069906834939,1.00494943392677,0.000987932833368399,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_TTO_2","Trinidad and Tobago (1982-1989)","TTO","Trinidad and Tobago",1982,1989,-0.341995167102343,7,FALSE,5,1994,75.6834466370339,5,"5 años después",0.341995167102343,0.756834466370339,12,-0.0229501063293466,1.15019590819336,0.0283817565040199,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_BGR_2","Bulgaria (1988-1995)","BGR","Bulgaria",1988,1995,-0.339771681767113,7,FALSE,5,2000,60.5167350304825,5,"5 años después",0.339771681767113,0.605167350304825,12,-0.0409903938041571,0.916603141053638,-0.0172653517439098,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LBY_3","Libya (1985-1988)","LBY","Libya",1985,1988,-0.334740043267006,3,FALSE,5,1993,75.2859055864352,5,"5 años después",0.334740043267006,0.752859055864352,8,-0.0348624565126291,1.13167649464661,0.0250486053960206,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_MOZ_1","Mozambique (1981-1986)","MOZ","Mozambique",1981,1986,-0.326541683891366,5,FALSE,5,1991,92.1042831165458,5,"5 años después",0.326541683891366,0.921042831165458,10,-0.00819114214222627,1.36763153581266,0.0646180406454997,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_IRN_2","Iran (Islamic Republic of) (1983-1988)","IRN","Iran (Islamic Republic of)",1983,1988,-0.320543067377552,5,FALSE,5,1993,84.7972132884545,5,"5 años después",0.320543067377552,0.847972132884545,10,-0.0163555225198119,1.2480145424548,0.0453071696755598,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_AZE_1","Azerbaijan (1993-1995)","AZE","Azerbaijan",1993,1995,-0.315738740188383,2,FALSE,5,2000,91.1448599723311,5,"5 años después",0.315738740188383,0.911448599723311,7,-0.0131583867581277,1.33201841643679,0.0590148398879224,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_JOR_6","Jordan (1986-1991)","JOR","Jordan",1986,1991,-0.31207024314496,5,FALSE,5,1996,75.738065157225,5,"5 años después",0.31207024314496,0.75738065157225,10,-0.0274063704670713,1.10095637530598,0.0194220477287537,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LBR_2","Liberia (2002-2003)","LBR","Liberia",2002,2003,-0.301998700032499,1,FALSE,5,2008,85.3599643930269,5,"5 años después",0.301998700032499,0.853599643930269,6,-0.0260371970146115,1.22291984838712,0.0410692016312117,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_PER_5","Peru (1987-1990)","PER","Peru",1987,1990,-0.301245041562092,3,FALSE,5,1995,81.9343887499471,5,"5 años después",0.301245041562092,0.819343887499471,8,-0.0245988186131847,1.17257684915917,0.0323530924998192,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_ROU_4","Romania (1987-1992)","ROU","Romania",1987,1992,-0.300439285010728,5,FALSE,5,1997,79.3093322724694,5,"5 años después",0.300439285010728,0.793093322724694,10,-0.0229148128038135,1.13370191568984,0.0254152597001447,"Otros países","",FALSE
