"series_id","series_label","cagr_window_years","benchmark_year","anchor_year","n_historical_windows","probability_recover_within_10_years","probability_recover_within_20_years","probability_recover_within_30_years","probability_nonpositive_cagr","conditional_recovery_year_p25","conditional_recovery_year_median","conditional_recovery_year_p75"
"PIB real","Real GDP",10,2012,2025,173,0.00578034682080925,0.23121387283237,0.393063583815029,0.0751445086705202,20.75,37,61.25
"PIB real per cápita","Real GDP per capita",10,2012,2025,173,0.00578034682080925,0.0809248554913295,0.196531791907514,0.248554913294798,29.25,54,95.75
