"indicator_id","country","country_code","year","indicator_value","gdp_per_capita","population","owid_region","gdp_population"
"life_expectancy","Hong Kong","HKG",2022,83.4853,48289.383,7465913,"Asia",NA
"life_expectancy","Hungary","HUN",2022,76.2118,29451.855,9684308,"Europa",NA
"life_expectancy","Iceland","ISL",2022,81.5877,42145.594,380368,"Europa",NA
"life_expectancy","India","IND",2022,71.6984,7765.593,1425423209,"Asia",NA
"life_expectancy","Indonesia","IDN",2022,70.9246,12801.671,278830527,"Asia",NA
"life_expectancy","Iran","IRN",2022,76.7993,18473.066,89524247,"Asia",NA
"life_expectancy","Iraq","IRQ",2022,72.0371,13071.94,44070556,"Asia",NA
"life_expectancy","Ireland","IRL",2022,82.0505,60257.082,5110015,"Europa",NA
"life_expectancy","Israel","ISR",2022,82.8145,36648.918,9103143,"Asia",NA
"life_expectancy","Italy","ITA",2022,82.052,36224.293,59619106,"Europa",NA
"life_expectancy","Jamaica","JAM",2022,71.4809,7481.6685,2839150,"América del Norte",NA
"life_expectancy","Japan","JPN",2022,84.0541,38268.79,124997585,"Asia",NA
"life_expectancy","Jordan","JOR",2022,77.088,9151.479,11256269,"Asia",NA
"life_expectancy","Kazakhstan","KAZ",2022,73.5028,26491.857,20034612,"Asia",NA
"life_expectancy","Kenya","KEN",2022,63.5491,3403.9238,54252458,"África",NA
"life_expectancy","Kuwait","KWT",2022,78.7881,71533.516,4589514,"Asia",NA
"life_expectancy","Kyrgyzstan","KGZ",2022,71.487,5304.841,6955792,"Asia",NA
"life_expectancy","Laos","LAO",2022,68.7152,7168.1904,7559008,"Asia",NA
"life_expectancy","Latvia","LVA",2022,74.8706,27220.303,1881059,"Europa",NA
"life_expectancy","Lebanon","LBN",2022,78.0029,10341.159,5744492,"Asia",NA
"life_expectancy","Lesotho","LSO",2022,56.8119,2312.9583,2286112,"África",NA
"life_expectancy","Liberia","LBR",2022,61.9342,811.2146,5373297,"África",NA
"life_expectancy","Libya","LBY",2022,74.4615,12755.204,7223804,"África",NA
"life_expectancy","Lithuania","LTU",2022,74.696,30863.32,2816923,"Europa",NA
"life_expectancy","Luxembourg","LUX",2022,82.2007,55484.777,653315,"Europa",NA
"life_expectancy","Madagascar","MDG",2022,63.0677,1367.0938,30437261,"África",NA
"life_expectancy","Malawi","MWI",2022,66.037,1190.0509,20568731,"África",NA
"life_expectancy","Malaysia","MYS",2022,75.4442,26628.707,34695494,"Asia",NA
"life_expectancy","Mali","MLI",2022,60.0347,1651.9413,23072641,"África",NA
"life_expectancy","Malta","MLT",2022,82.2496,34496.34,528194,"Europa",NA
"life_expectancy","Mauritania","MRT",2022,68.2807,3680.3662,4875644,"África",NA
"life_expectancy","Mauritius","MUS",2022,73.5445,20643.094,1276134,"África",NA
"life_expectancy","Mexico","MEX",2022,73.9731,16235.455,128613116,"América del Norte",NA
"life_expectancy","Moldova","MDA",2022,71.5465,6674.871,3039986,"Europa",NA
"life_expectancy","Mongolia","MNG",2022,71.5049,13442.906,3386015,"Asia",NA
"life_expectancy","Montenegro","MNE",2022,75.9214,20941.805,614649,"Europa",NA
"life_expectancy","Morocco","MAR",2022,75.1614,8400.127,37329068,"África",NA
"life_expectancy","Mozambique","MOZ",2022,63.0115,1087.836,32656242,"África",NA
"life_expectancy","Myanmar","MMR",2022,66.5058,5177.4326,53756791,"Asia",NA
"life_expectancy","Namibia","NAM",2022,64.1903,7979.328,2889668,"África",NA
"life_expectancy","Nepal","NPL",2022,70.0869,3013.5178,29715435,"Asia",NA
"life_expectancy","Netherlands","NLD",2022,81.9121,49669.867,17904421,"Europa",NA
"life_expectancy","New Zealand","NZL",2022,81.0061,38250.12,5131731,"Oceanía",NA
"life_expectancy","Nicaragua","NIC",2022,74.4626,5092.8413,6730662,"América del Norte",NA
"life_expectancy","Niger","NER",2022,60.3981,1007.72095,25311978,"África",NA
"life_expectancy","Nigeria","NGA",2022,54.079,5070.4927,223150906,"África",NA
"life_expectancy","North Korea","PRK",2022,73.6411,1568.847,26328843,"Asia",NA
"life_expectancy","North Macedonia","MKD",2022,76.6455,14050.995,1840236,"Europa",NA
"life_expectancy","Norway","NOR",2022,82.6309,88366.22,5456796,"Europa",NA
"life_expectancy","Oman","OMN",2022,77.9106,47988.65,4730229,"Asia",NA
"life_expectancy","Pakistan","PAK",2022,67.4167,5531.723,243700667,"Asia",NA
"life_expectancy","Palestine","PSE",2022,76.6624,4775.202,5305274,"Asia",NA
"life_expectancy","Panama","PAN",2022,79.3241,23557.02,4400775,"América del Norte",NA
"life_expectancy","Paraguay","PRY",2022,72.3185,8762.771,6760460,"América del Sur",NA
"life_expectancy","Peru","PER",2022,76.834,12762.967,33475436,"América del Sur",NA
"life_expectancy","Philippines","PHL",2022,69.4723,8370.666,113964343,"Asia",NA
"life_expectancy","Poland","POL",2022,77.9229,32468.402,38385734,"Europa",NA
"life_expectancy","Portugal","PRT",2022,81.1936,28992.059,10417074,"Europa",NA
"life_expectancy","Puerto Rico","PRI",2022,79.4269,35280.668,3240972,"América del Norte",NA
"life_expectancy","Qatar","QAT",2022,81.8566,149171.11,2892466,"Asia",NA
"life_expectancy","Romania","ROU",2022,75.2614,26197.904,19166776,"Europa",NA
"life_expectancy","Russia","RUS",2022,72.5174,25437.107,145579889,"Europa",NA
"life_expectancy","Rwanda","RWA",2022,67.528,2198.0662,13651025,"África",NA
"life_expectancy","Saint Lucia","LCA",2022,72.6699,10452.165,178794,"América del Norte",NA
"life_expectancy","Sao Tome and Principe","STP",2022,69.2368,3751.6428,226313,"África",NA
"life_expectancy","Saudi Arabia","SAU",2022,77.3098,53516.91,32175351,"Asia",NA
"life_expectancy","Senegal","SEN",2022,67.7884,2660.6816,17651099,"África",NA
"life_expectancy","Serbia","SRB",2022,75.4778,17097.686,6791215,"Europa",NA
"life_expectancy","Seychelles","SYC",2022,71.2481,31055.39,125533,"África",NA
"life_expectancy","Sierra Leone","SLE",2022,61.2748,1690.4982,8276809,"África",NA
"life_expectancy","Singapore","SGP",2022,82.9211,80320.086,5649888,"Asia",NA
"life_expectancy","Slovakia","SVK",2022,77.0356,27519.287,5473195,"Europa",NA
"life_expectancy","Slovenia","SVN",2022,80.7933,32673.762,2115231,"Europa",NA
"life_expectancy","South Africa","ZAF",2022,65.4536,11415.887,62378417,"África",NA
"life_expectancy","South Korea","KOR",2022,82.727,41320.9,51782515,"Asia",NA
"life_expectancy","Spain","ESP",2022,82.3661,34123.387,47828386,"Europa",NA
"life_expectancy","Sri Lanka","LKA",2022,77.2996,10705.481,22834965,"Asia",NA
"life_expectancy","Sweden","SWE",2022,83.046,47126.13,10487335,"Europa",NA
"life_expectancy","Switzerland","CHE",2022,83.2003,63323.254,8792180,"Europa",NA
"life_expectancy","Syria","SYR",2022,72.7898,2494.7612,22462170,"Asia",NA
"life_expectancy","Taiwan","TWN",2022,80.1569,53142.984,23420107,"Asia",NA
"life_expectancy","Tajikistan","TJK",2022,71.5624,5507.5454,10182228,"Asia",NA
"life_expectancy","Tanzania","TZA",2022,66.8786,3057.3286,64711822,"África",NA
"life_expectancy","Thailand","THA",2022,75.2913,16421.072,71735321,"Asia",NA
"life_expectancy","Togo","TGO",2022,62.2898,1586.5889,8068616,"África",NA
"life_expectancy","Trinidad and Tobago","TTO",2022,73.3308,25773.006,1495923,"América del Norte",NA
"life_expectancy","Tunisia","TUN",2022,76.0505,10913.846,12119338,"África",NA
"life_expectancy","Turkey","TUR",2022,77.5913,27361.988,87058469,"Asia",NA
"life_expectancy","Turkmenistan","TKM",2022,69.9133,17234.555,7230197,"Asia",NA
"life_expectancy","Uganda","UGA",2022,67.6747,2122.0278,47312718,"África",NA
"life_expectancy","Ukraine","UKR",2022,72.6582,7749.0996,41048768,"Europa",NA
"life_expectancy","United Arab Emirates","ARE",2022,80.4868,77203.67,10242085,"Asia",NA
"life_expectancy","United Kingdom","GBR",2022,81.0744,38406.53,68179315,"Europa",NA
"life_expectancy","United States","USA",2022,77.9789,58487.465,341534041,"América del Norte",NA
"life_expectancy","Uruguay","URY",2022,76.4682,20181.94,3390913,"América del Sur",NA
"life_expectancy","Uzbekistan","UZB",2022,72.1465,12559.401,34938953,"Asia",NA
"life_expectancy","Venezuela","VEN",2022,72.5656,5267.1753,28213015,"América del Sur",NA
"life_expectancy","Vietnam","VNM",2022,74.5025,8050.359,99680656,"Asia",NA
"life_expectancy","Yemen","YEM",2022,67.9517,1959.3195,38222878,"Asia",NA
"life_expectancy","Zambia","ZMB",2022,65.2791,3342.4214,20152935,"África",NA
"life_expectancy","Zimbabwe","ZWE",2022,62.3601,1703.5294,16069061,"África",NA
"daily_income","Angola","AGO",2018,3.87951040267944,10000.944,31297160,"África",NA
"daily_income","Albania","ALB",2020,12.8386011123657,16457.787,2871950,"Europa",NA
"daily_income","Armenia","ARM",2024,8.54555702209473,20078.785,2943398,"Asia",NA
"daily_income","Australia","AUS",2020,59.706600189209,57260.465,25743787,"Oceanía",NA
"daily_income","Austria","AUT",2023,71.4395065307617,64536.297,9130434,"Europa",NA
"daily_income","Azerbaijan","AZE",2005,9.34951877593994,10054.101,8597248,"Asia",NA
