"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","recovery_year","years_to_recover","is_venezuela"
"Maddison, PIB pc","maddison_CIV_16","Côte d'Ivoire (1985-1994)","CIV","Côte d'Ivoire",1985,1994,-0.286456743206981,9,2013,28,FALSE
"Maddison, PIB pc","maddison_AGO_22","Angola (2014-2022)","AGO","Angola",2014,2022,-0.28419568397811,8,NA,NA,FALSE
"Maddison, PIB pc","maddison_ROU_62","Romania (1986-1992)","ROU","Romania",1986,1992,-0.282824423543008,6,2000,14,FALSE
"Maddison, PIB pc","maddison_PER_200","Peru (1987-1990)","PER","Peru",1987,1990,-0.282400478898533,3,2004,17,FALSE
"Maddison, PIB pc","maddison_AGO_18","Angola (1980-1986)","AGO","Angola",1980,1986,-0.278067885117493,6,1996,16,FALSE
"Maddison, PIB pc","maddison_MDG_10","Madagascar (1979-1988)","MDG","Madagascar",1979,1988,-0.276546091015169,9,NA,NA,FALSE
"Maddison, PIB pc","maddison_NGA_40","Nigeria (1979-1984)","NGA","Nigeria",1979,1984,-0.274239543726236,5,2000,21,FALSE
"Maddison, PIB pc","maddison_SYR_32","Syrian Arab Republic (2017-2022)","SYR","Syrian Arab Republic",2017,2022,-0.271001749927598,5,NA,NA,FALSE
"Maddison, PIB pc","maddison_CHN_33","China (1957-1961)","CHN","China",1957,1961,-0.268619246861925,4,1965,8,FALSE
"Maddison, PIB pc","maddison_SVN_8","Slovenia (1986-1992)","SVN","Slovenia",1986,1992,-0.267933426673596,6,2000,14,FALSE
"Maddison, PIB pc","maddison_LBY_12","Libya (1985-1987)","LBY","Libya",1985,1987,-0.267071569271175,2,1992,7,FALSE
"Maddison, PIB pc","maddison_GAB_6","Gabon (1984-1987)","GAB","Gabon",1984,1987,-0.266140269391547,3,1994,10,FALSE
"Maddison, PIB pc","maddison_NER_10","Niger (1980-1985)","NER","Niger",1980,1985,-0.264136328427576,5,NA,NA,FALSE
"Maddison, PIB pc","maddison_LCA_12","Saint Lucia (2018-2020)","LCA","Saint Lucia",2018,2020,-0.261796604619801,2,NA,NA,FALSE
"Maddison, PIB pc","maddison_IRN_9","Iran (Islamic Republic of) (1983-1988)","IRN","Iran (Islamic Republic of)",1983,1988,-0.261536297129994,5,1996,13,FALSE
"Maddison, PIB pc","maddison_JOR_17","Jordan (1986-1991)","JOR","Jordan",1986,1991,-0.259938627832325,5,2001,15,FALSE
"Maddison, PIB pc","maddison_NGA_34","Nigeria (1965-1968)","NGA","Nigeria",1965,1968,-0.259800664451827,3,1970,5,FALSE
"Maddison, PIB pc","maddison_GHA_45","Ghana (1978-1983)","GHA","Ghana",1978,1983,-0.259462151394422,5,1998,20,FALSE
"Maddison, PIB pc","maddison_SYR_24","Syrian Arab Republic (1993-2001)","SYR","Syrian Arab Republic",1993,2001,-0.254473638055751,8,NA,NA,FALSE
"Maddison, PIB pc","maddison_KHM_12","Cambodia (1973-1975)","KHM","Cambodia",1973,1975,-0.253430185633575,2,1978,5,FALSE
"Maddison, PIB pc","maddison_NER_6","Niger (1971-1973)","NER","Niger",1971,1973,-0.248191027496382,2,NA,NA,FALSE
"Maddison, PIB pc","maddison_AGO_20","Angola (1991-1993)","AGO","Angola",1991,1993,-0.248176797680982,2,1996,5,FALSE
"Maddison, PIB pc","maddison_VEN_70","Venezuela (1977-1985)","VEN","Venezuela",1977,1985,-0.246708124123997,8,NA,NA,TRUE
"Maddison, PIB pc","maddison_MOZ_8","Mozambique (1980-1985)","MOZ","Mozambique",1980,1985,-0.246272493573265,5,NA,NA,FALSE
"Maddison, PIB pc","maddison_JAM_11","Jamaica (1973-1980)","JAM","Jamaica",1973,1980,-0.244265532432022,7,1995,22,FALSE
"Maddison, PIB pc","maddison_RWA_4","Rwanda (1962-1964)","RWA","Rwanda",1962,1964,-0.243827160493827,2,1970,8,FALSE
"Maddison, PIB pc","maddison_MOZ_16","Mozambique (2001-2011)","MOZ","Mozambique",2001,2011,-0.241418403640916,10,NA,NA,FALSE
"Maddison, PIB pc","maddison_COD_20","D.R. of the Congo (1995-2001)","COD","D.R. of the Congo",1995,2001,-0.241336880111978,6,2007,12,FALSE
"Maddison, PIB pc","maddison_SLV_27","El Salvador (1978-1983)","SLV","El Salvador",1978,1983,-0.238857142857143,5,1995,17,FALSE
"Maddison, PIB pc","maddison_BOL_26","Bolivia (Plurinational State of) (1978-1986)","BOL","Bolivia (Plurinational State of)",1978,1986,-0.236136783733826,8,2004,26,FALSE
"Maddison, PIB pc","maddison_UKR_12","Ukraine (2021-2022)","UKR","Ukraine",2021,2022,-0.235327847200703,1,NA,NA,FALSE
"Maddison, PIB pc","maddison_MLI_12","Mali (1979-1982)","MLI","Mali",1979,1982,-0.234200743494424,3,2003,24,FALSE
"Maddison, PIB pc","maddison_SDN_24","Sudan (Former) (2016-2022)","SDN","Sudan (Former)",2016,2022,-0.233927928686773,6,NA,NA,FALSE
"Maddison, PIB pc","maddison_CHL_76","Chile (1971-1975)","CHL","Chile",1971,1975,-0.232759603328394,4,1980,9,FALSE
"Maddison, PIB pc","maddison_TTO_16","Trinidad and Tobago (2014-2021)","TTO","Trinidad and Tobago",2014,2021,-0.232389173545104,7,NA,NA,FALSE
"Maddison, PIB pc","maddison_LBN_24","Lebanon (2018-2020)","LBN","Lebanon",2018,2020,-0.230726440323458,2,NA,NA,FALSE
"Maddison, PIB pc","maddison_BGR_32","Bulgaria (1987-1992)","BGR","Bulgaria",1987,1992,-0.228731352525515,5,2004,17,FALSE
"Maddison, PIB pc","maddison_SVK_2","Slovakia (1989-1992)","SVK","Slovakia",1989,1992,-0.227374363247907,3,1997,8,FALSE
"Maddison, PIB pc","maddison_GRC_70","Greece (2008-2013)","GRC","Greece",2008,2013,-0.22736514833421,5,NA,NA,FALSE
"Maddison, PIB pc","maddison_AFG_16","Afghanistan (1995-2001)","AFG","Afghanistan",1995,2001,-0.226337898798284,6,2002,7,FALSE
"Maddison, PIB pc","maddison_HTI_29","Haiti (1991-1994)","HTI","Haiti",1991,1994,-0.224950881491012,3,2011,20,FALSE
"Maddison, PIB pc","maddison_SLE_18","Sierra Leone (2014-2015)","SLE","Sierra Leone",2014,2015,-0.221225710014948,1,NA,NA,FALSE
"Maddison, PIB pc","maddison_CAF_12","Central African Republic (1977-1983)","CAF","Central African Republic",1977,1983,-0.220183486238532,6,NA,NA,FALSE
"Maddison, PIB pc","maddison_AFG_6","Afghanistan (1968-1972)","AFG","Afghanistan",1968,1972,-0.21937984496124,4,1983,15,FALSE
"Maddison, PIB pc","maddison_VNM_7","Viet Nam (1964-1968)","VNM","Viet Nam",1964,1968,-0.219341275402943,4,1985,21,FALSE
"Maddison, PIB pc","maddison_RWA_14","Rwanda (1986-1991)","RWA","Rwanda",1986,1991,-0.219086844086561,5,2015,29,FALSE
"Maddison, PIB pc","maddison_JOR_21","Jordan (2012-2016)","JOR","Jordan",2012,2016,-0.218310104802165,4,NA,NA,FALSE
"Maddison, PIB pc","maddison_QAT_8","Qatar (1959-1965)","QAT","Qatar",1959,1965,-0.216168281333435,6,1967,8,FALSE
"Maddison, PIB pc","maddison_EST_8","Estonia (2007-2009)","EST","Estonia",2007,2009,-0.215442403218153,2,2017,10,FALSE
"Maddison, PIB pc","maddison_LBN_2","Lebanon (1955-1958)","LBN","Lebanon",1955,1958,-0.21398002853067,3,1970,15,FALSE
"Maddison, PIB pc","maddison_TGO_12","Togo (1990-1993)","TGO","Togo",1990,1993,-0.213204019707434,3,2013,23,FALSE
"Maddison, PIB pc","maddison_BGD_16","Bangladesh (1970-1973)","BGD","Bangladesh",1970,1973,-0.211155378486056,3,1990,20,FALSE
"Maddison, PIB pc","maddison_SDN_14","Sudan (Former) (1977-1981)","SDN","Sudan (Former)",1977,1981,-0.210554658050619,4,2000,23,FALSE
"Maddison, PIB pc","maddison_TTO_6","Trinidad and Tobago (1984-1989)","TTO","Trinidad and Tobago",1984,1989,-0.209841628959276,5,1999,15,FALSE
"Maddison, PIB pc","maddison_KHM_10","Cambodia (1968-1972)","KHM","Cambodia",1968,1972,-0.209621993127148,4,1973,5,FALSE
"Maddison, PIB pc","maddison_KWT_4","Kuwait (1956-1961)","KWT","Kuwait",1956,1961,-0.205747652850927,5,NA,NA,FALSE
"Maddison, PIB pc","maddison_ARG_58","Argentina (1998-2002)","ARG","Argentina",1998,2002,-0.203555528768582,4,2005,7,FALSE
"Maddison, PIB pc","maddison_GTM_22","Guatemala (1980-1988)","GTM","Guatemala",1980,1988,-0.203320802005013,8,2007,27,FALSE
"Maddison, PIB pc","maddison_SDN_16","Sudan (Former) (1982-1985)","SDN","Sudan (Former)",1982,1985,-0.203252032520325,3,1997,15,FALSE
"Maddison, PIB pc","maddison_LBN_22","Lebanon (2012-2015)","LBN","Lebanon",2012,2015,-0.20276879861767,3,NA,NA,FALSE
"Maddison, PIB pc","maddison_GNB_10","Guinea-Bissau (1979-1981)","GNB","Guinea-Bissau",1979,1981,-0.200953678474114,2,NA,NA,FALSE
"Maddison, PIB pc","maddison_CPV_16","Cabo Verde (2019-2020)","CPV","Cabo Verde",2019,2020,-0.20079822561693,1,NA,NA,FALSE
"Maddison, PIB pc","maddison_MMR_18","Myanmar (1985-1988)","MMR","Myanmar",1985,1988,-0.198539176626826,3,1998,13,FALSE
"Maddison, PIB pc","maddison_QAT_12","Qatar (1973-1975)","QAT","Qatar",1973,1975,-0.197947578464192,2,2004,31,FALSE
"Maddison, PIB pc","maddison_SDN_22","Sudan (Former) (2010-2013)","SDN","Sudan (Former)",2010,2013,-0.197945816506138,3,NA,NA,FALSE
"Maddison, PIB pc","maddison_CAF_14","Central African Republic (1986-1993)","CAF","Central African Republic",1986,1993,-0.197022224902549,7,NA,NA,FALSE
"Maddison, PIB pc","maddison_TKM_1","Turkmenistan (1973-1985)","TKM","Turkmenistan",1973,1985,-0.195892369686728,12,2004,31,FALSE
"Maddison, PIB pc","maddison_ZMB_38","Zambia (1981-1987)","ZMB","Zambia",1981,1987,-0.193699731903485,6,2001,20,FALSE
"Maddison, PIB pc","maddison_DJI_18","Djibouti (1995-2002)","DJI","Djibouti",1995,2002,-0.193585603714967,7,2006,11,FALSE
"Maddison, PIB pc","maddison_MDG_8","Madagascar (1971-1978)","MDG","Madagascar",1971,1978,-0.192346424974824,7,NA,NA,FALSE
"Maddison, PIB pc","maddison_LSO_8","Lesotho (1978-1981)","LSO","Lesotho",1978,1981,-0.191313340227508,3,1997,19,FALSE
"Maddison, PIB pc","maddison_GHA_43","Ghana (1974-1976)","GHA","Ghana",1974,1976,-0.190168175937904,2,2004,30,FALSE
"Maddison, PIB pc","maddison_HTI_17","Haiti (1962-1967)","HTI","Haiti",1962,1967,-0.189277899343545,5,1976,14,FALSE
"Maddison, PIB pc","maddison_VEN_80","Venezuela (2001-2003)","VEN","Venezuela",2001,2003,-0.188975855520166,2,2005,4,TRUE
"Maddison, PIB pc","maddison_PAN_32","Panama (2019-2020)","PAN","Panama",2019,2020,-0.188543822142771,1,2022,3,FALSE
"Maddison, PIB pc","maddison_PHL_24","Philippines (1982-1985)","PHL","Philippines",1982,1985,-0.187613371339725,3,1997,15,FALSE
"Maddison, PIB pc","maddison_CHL_78","Chile (1981-1983)","CHL","Chile",1981,1983,-0.186697782963827,2,1989,8,FALSE
"Maddison, PIB pc","maddison_COG_6","Congo (1984-1990)","COG","Congo",1984,1990,-0.186535162950257,6,2005,21,FALSE
"Maddison, PIB pc","maddison_MMR_22","Myanmar (2020-2021)","MMR","Myanmar",2020,2021,-0.186138773344583,1,NA,NA,FALSE
"Maddison, PIB pc","maddison_LVA_8","Latvia (2007-2010)","LVA","Latvia",2007,2010,-0.18544206808921,3,2014,7,FALSE
"Maddison, PIB pc","maddison_GNB_18","Guinea-Bissau (1997-1998)","GNB","Guinea-Bissau",1997,1998,-0.185353722543591,1,2011,14,FALSE
"Maddison, PIB pc","maddison_HTI_25","Haiti (1980-1987)","HTI","Haiti",1980,1987,-0.184682501211827,7,NA,NA,FALSE
"Maddison, PIB pc","maddison_IRQ_24","Iraq (2002-2003)","IRQ","Iraq",2002,2003,-0.183347065286359,1,2004,2,FALSE
"Maddison, PIB pc","maddison_HUN_28","Hungary (1988-1992)","HUN","Hungary",1988,1992,-0.183196143089723,4,1998,10,FALSE
"Maddison, PIB pc","maddison_DMA_12","Dominica (1978-1979)","DMA","Dominica",1978,1979,-0.183086680761099,1,1981,3,FALSE
"Maddison, PIB pc","maddison_GMB_6","Gambia (1969-1972)","GMB","Gambia",1969,1972,-0.18109269490485,3,NA,NA,FALSE
"Maddison, PIB pc","maddison_KEN_19","Kenya (1951-1953)","KEN","Kenya",1951,1953,-0.179007323026851,2,1966,15,FALSE
"Maddison, PIB pc","maddison_NER_14","Niger (1988-1993)","NER","Niger",1988,1993,-0.178337142979854,5,2018,30,FALSE
"Maddison, PIB pc","maddison_MNG_2","Mongolia (1989-1992)","MNG","Mongolia",1989,1992,-0.175173627379803,3,1996,7,FALSE
"Maddison, PIB pc","maddison_IRQ_30","Iraq (2019-2020)","IRQ","Iraq",2019,2020,-0.175042891358045,1,NA,NA,FALSE
"Maddison, PIB pc","maddison_SLE_14","Sierra Leone (1989-1992)","SLE","Sierra Leone",1989,1992,-0.174806213829402,3,2012,23,FALSE
"Maddison, PIB pc","maddison_CPV_6","Cabo Verde (1974-1975)","CPV","Cabo Verde",1974,1975,-0.173680694722779,1,1983,9,FALSE
"Maddison, PIB pc","maddison_POL_103","Poland (1988-1991)","POL","Poland",1988,1991,-0.173619128024969,3,1995,7,FALSE
"Maddison, PIB pc","maddison_ARM_7","Armenia (2008-2010)","ARM","Armenia",2008,2010,-0.173597277008925,2,2016,8,FALSE
"Maddison, PIB pc","maddison_SYR_10","Syrian Arab Republic (1962-1966)","SYR","Syrian Arab Republic",1962,1966,-0.173029251363411,4,1969,7,FALSE
"Maddison, PIB pc","maddison_URY_52","Uruguay (1981-1984)","URY","Uruguay",1981,1984,-0.172695668514517,3,1992,11,FALSE
"Maddison, PIB pc","maddison_PER_196","Peru (1981-1983)","PER","Peru",1981,1983,-0.172229446611761,2,2005,24,FALSE
"Maddison, PIB pc","maddison_LSO_24","Lesotho (2016-2020)","LSO","Lesotho",2016,2020,-0.171994742433265,4,NA,NA,FALSE
"Maddison, PIB pc","maddison_NAM_22","Namibia (2015-2020)","NAM","Namibia",2015,2020,-0.171314419072532,5,NA,NA,FALSE
"Maddison, PIB pc","maddison_BFA_8","Burkina Faso (1972-1976)","BFA","Burkina Faso",1972,1976,-0.170790103750998,4,1986,14,FALSE
"Maddison, PIB pc","maddison_URY_58","Uruguay (1998-2002)","URY","Uruguay",1998,2002,-0.170597034111211,4,2007,9,FALSE
"Maddison, PIB pc","maddison_CIV_14","Côte d'Ivoire (1980-1984)","CIV","Côte d'Ivoire",1980,1984,-0.169074700276668,4,NA,NA,FALSE
"Maddison, PIB pc","maddison_DMA_22","Dominica (2019-2020)","DMA","Dominica",2019,2020,-0.167182314916247,1,NA,NA,FALSE
"Maddison, PIB pc","maddison_OMN_8","Oman (1972-1973)","OMN","Oman",1972,1973,-0.166480625099665,1,1975,3,FALSE
"Maddison, PIB pc","maddison_QAT_14","Qatar (1976-1977)","QAT","Qatar",1976,1977,-0.166216534648081,1,2002,26,FALSE
"Maddison, PIB pc","maddison_ARG_68","Argentina (2017-2020)","ARG","Argentina",2017,2020,-0.165775218152235,3,NA,NA,FALSE
"Maddison, PIB pc","maddison_ZWE_37","Zimbabwe (2018-2020)","ZWE","Zimbabwe",2018,2020,-0.165364972303008,2,NA,NA,FALSE
"Maddison, PIB pc","maddison_BDI_2","Burundi (1959-1961)","BDI","Burundi",1959,1961,-0.164402173913043,2,1967,8,FALSE
"Maddison, PIB pc","maddison_TTO_4","Trinidad and Tobago (1981-1983)","TTO","Trinidad and Tobago",1981,1983,-0.163365848852104,2,2002,21,FALSE
"Maddison, PIB pc","maddison_SRB_18","Serbia (1998-1999)","SRB","Serbia",1998,1999,-0.162207253520606,1,2002,4,FALSE
"Maddison, PIB pc","maddison_SYR_6","Syrian Arab Republic (1957-1958)","SYR","Syrian Arab Republic",1957,1958,-0.162082684656634,1,1962,5,FALSE
"Maddison, PIB pc","maddison_CYP_15","Cyprus (2008-2014)","CYP","Cyprus",2008,2014,-0.160851600305672,6,2018,10,FALSE
"Maddison, PIB pc","maddison_TCD_4","Chad (1962-1968)","TCD","Chad",1962,1968,-0.160358565737052,6,NA,NA,FALSE
"Maddison, PIB pc","maddison_JOR_9","Jordan (1965-1968)","JOR","Jordan",1965,1968,-0.160031533307056,3,1978,13,FALSE
"Maddison, PIB pc","maddison_CSK_16","Czechoslovakia (1989-1992)","CSK","Czechoslovakia",1989,1992,-0.159778966080206,3,1996,7,FALSE
"Maddison, PIB pc","maddison_SYC_14","Seychelles (1979-1983)","SYC","Seychelles",1979,1983,-0.159636309435087,4,1987,8,FALSE
"Maddison, PIB pc","maddison_BRB_6","Barbados (1989-1993)","BRB","Barbados",1989,1993,-0.159609026785465,4,NA,NA,FALSE
"Maddison, PIB pc","maddison_TJK_1","Tajikistan (1973-1982)","TJK","Tajikistan",1973,1982,-0.157652826719779,9,NA,NA,FALSE
"Maddison, PIB pc","maddison_TCD_24","Chad (2014-2018)","TCD","Chad",2014,2018,-0.157589670615398,4,NA,NA,FALSE
"Maddison, PIB pc","maddison_YEM_12","Yemen (2010-2012)","YEM","Yemen",2010,2012,-0.155434206621,2,NA,NA,FALSE
"Maddison, PIB pc","maddison_PSE_32","State of Palestine (2016-2020)","PSE","State of Palestine",2016,2020,-0.155395020539508,4,NA,NA,FALSE
"Maddison, PIB pc","maddison_STP_15","Sao Tome and Principe (1979-1981)","STP","Sao Tome and Principe",1979,1981,-0.155386949924127,2,2013,34,FALSE
"Maddison, PIB pc","maddison_SDN_12","Sudan (Former) (1971-1973)","SDN","Sudan (Former)",1971,1973,-0.154996600951734,2,1976,5,FALSE
"Maddison, PIB pc","maddison_UGA_29","Uganda (1983-1986)","UGA","Uganda",1983,1986,-0.153846153846154,3,1995,12,FALSE
"Maddison, PIB pc","maddison_TCD_6","Chad (1969-1973)","TCD","Chad",1969,1973,-0.153234960272418,4,1975,6,FALSE
"Maddison, PIB pc","maddison_DMA_8","Dominica (1964-1965)","DMA","Dominica",1964,1965,-0.152219873150106,1,1970,6,FALSE
"Maddison, PIB pc","maddison_DOM_8","Dominican Republic (1964-1965)","DOM","Dominican Republic",1964,1965,-0.151374207188161,1,1970,6,FALSE
"Maddison, PIB pc","maddison_MNE_27","Montenegro (2019-2020)","MNE","Montenegro",2019,2020,-0.151253976911671,1,2022,3,FALSE
"Maddison, PIB pc","maddison_TZA_14","U.R. of Tanzania: Mainland (1978-1985)","TZA","U.R. of Tanzania: Mainland",1978,1985,-0.151057401812689,7,1997,19,FALSE
"Maddison, PIB pc","maddison_VNM_11","Viet Nam (1973-1975)","VNM","Viet Nam",1973,1975,-0.150787696924231,2,1983,10,FALSE
"Maddison, PIB pc","maddison_JOR_11","Jordan (1969-1972)","JOR","Jordan",1969,1972,-0.150678733031674,3,1976,7,FALSE
"WDI, PIB pc","wdi_LBR_9","Liberia (1979-1995)","LBR","Liberia",1979,1995,-0.927950876615831,16,NA,NA,FALSE
"WDI, PIB pc","wdi_GEO_4","Georgia (1988-1994)","GEO","Georgia",1988,1994,-0.784252454171453,6,2018,30,FALSE
"WDI, PIB pc","wdi_TJK_3","Tajikistan (1988-1996)","TJK","Tajikistan",1988,1996,-0.75190036866998,8,NA,NA,FALSE
"WDI, PIB pc","wdi_VEN_84","Venezuela (2012-2020)","VEN","Venezuela",2012,2020,-0.740142005551907,8,NA,NA,TRUE
"WDI, PIB pc","wdi_COD_14","Congo, Dem. Rep. (1986-2002)","COD","Congo, Dem. Rep.",1986,2002,-0.676390455932523,16,NA,NA,FALSE
"WDI, PIB pc","wdi_IRQ_16","Iraq (1990-1991)","IRQ","Iraq",1990,1991,-0.644235820475039,1,1999,9,FALSE
"WDI, PIB pc","wdi_UKR_2","Ukraine (1989-1998)","UKR","Ukraine",1989,1998,-0.605083330497868,9,NA,NA,FALSE
"WDI, PIB pc","wdi_AZE_1","Azerbaijan (1991-1995)","AZE","Azerbaijan",1991,1995,-0.601133004151926,4,2006,15,FALSE
"WDI, PIB pc","wdi_SAU_6","Saudi Arabia (1979-1987)","SAU","Saudi Arabia",1979,1987,-0.557089581311511,8,NA,NA,FALSE
"WDI, PIB pc","wdi_SDN_24","Sudan (2016-2024)","SDN","Sudan",2016,2024,-0.554109318802974,8,NA,NA,FALSE
"WDI, PIB pc","wdi_MDA_1","Moldova (1991-1996)","MDA","Moldova",1991,1996,-0.545561891782624,5,2018,27,FALSE
"WDI, PIB pc","wdi_IRN_4","Iran, Islamic Rep. (1976-1981)","IRN","Iran, Islamic Rep.",1976,1981,-0.542672491853306,5,NA,NA,FALSE
"WDI, PIB pc","wdi_GNQ_9","Equatorial Guinea (2012-2021)","GNQ","Equatorial Guinea",2012,2021,-0.528962590494388,9,NA,NA,FALSE
"WDI, PIB pc","wdi_ZWE_23","Zimbabwe (2001-2008)","ZWE","Zimbabwe",2001,2008,-0.524866709567101,7,NA,NA,FALSE
"WDI, PIB pc","wdi_ARE_6","United Arab Emirates (1980-1988)","ARE","United Arab Emirates",1980,1988,-0.517824013492657,8,NA,NA,FALSE
"WDI, PIB pc","wdi_KGZ_2","Kyrgyz Republic (1990-1995)","KGZ","Kyrgyz Republic",1990,1995,-0.511996838926655,5,2022,32,FALSE
"WDI, PIB pc","wdi_KWT_3","Kuwait (1979-1982)","KWT","Kuwait",1979,1982,-0.506269473606368,3,2005,26,FALSE
"WDI, PIB pc","wdi_LBY_24","Libya (2010-2011)","LBY","Libya",2010,2011,-0.491278565212286,1,NA,NA,FALSE
"WDI, PIB pc","wdi_TZA_2","Tanzania (1968-1970)","TZA","Tanzania",1968,1970,-0.483369539888332,2,NA,NA,FALSE
"WDI, PIB pc","wdi_RWA_18","Rwanda (1992-1994)","RWA","Rwanda",1992,1994,-0.482857683153878,2,2002,10,FALSE
"WDI, PIB pc","wdi_KWT_1","Kuwait (1971-1977)","KWT","Kuwait",1971,1977,-0.477721465660515,6,NA,NA,FALSE
"WDI, PIB pc","wdi_YEM_6","Yemen, Rep. (2013-2018)","YEM","Yemen, Rep.",2013,2018,-0.464280588581562,5,NA,NA,FALSE
"WDI, PIB pc","wdi_IRQ_20","Iraq (2000-2003)","IRQ","Iraq",2000,2003,-0.46077440798226,3,2012,12,FALSE
"WDI, PIB pc","wdi_SYR_24","Syrian Arab Republic (2011-2014)","SYR","Syrian Arab Republic",2011,2014,-0.450541827089686,3,NA,NA,FALSE
"WDI, PIB pc","wdi_ARM_1","Armenia (1991-1993)","ARM","Armenia",1991,1993,-0.444524562697591,2,2002,11,FALSE
"WDI, PIB pc","wdi_HTI_12","Haiti (1980-1994)","HTI","Haiti",1980,1994,-0.437379153279232,14,NA,NA,FALSE
"WDI, PIB pc","wdi_TKM_3","Turkmenistan (1990-1995)","TKM","Turkmenistan",1990,1995,-0.433041568689599,5,2008,18,FALSE
"WDI, PIB pc","wdi_LBY_26","Libya (2012-2016)","LBY","Libya",2012,2016,-0.425667480371019,4,NA,NA,FALSE
"WDI, PIB pc","wdi_CMR_12","Cameroon (1986-1994)","CMR","Cameroon",1986,1994,-0.424365813553514,8,NA,NA,FALSE
"WDI, PIB pc","wdi_AGO_5","Angola (1988-1994)","AGO","Angola",1988,1994,-0.419969309366908,6,2006,18,FALSE
"WDI, PIB pc","wdi_KHM_9","Cambodia (1992-1994)","KHM","Cambodia",1992,1994,-0.404080881412024,2,2005,13,FALSE
"WDI, PIB pc","wdi_RUS_1","Russian Federation (1990-1996)","RUS","Russian Federation",1990,1996,-0.402910807826704,6,2006,16,FALSE
"WDI, PIB pc","wdi_ALB_6","Albania (1989-1992)","ALB","Albania",1989,1992,-0.399308253489314,3,2000,11,FALSE
"WDI, PIB pc","wdi_LTU_1","Lithuania (1991-1994)","LTU","Lithuania",1991,1994,-0.397134463626588,3,2003,12,FALSE
"WDI, PIB pc","wdi_LBY_28","Libya (2018-2020)","LBY","Libya",2018,2020,-0.390993968010133,2,NA,NA,FALSE
"WDI, PIB pc","wdi_GAB_2","Gabon (1976-1980)","GAB","Gabon",1976,1980,-0.380558602189237,4,NA,NA,FALSE
"WDI, PIB pc","wdi_NIC_14","Nicaragua (1983-1993)","NIC","Nicaragua",1983,1993,-0.368799802417541,10,2012,29,FALSE
"WDI, PIB pc","wdi_CAF_29","Central African Republic (2012-2013)","CAF","Central African Republic",2012,2013,-0.368245466038613,1,NA,NA,FALSE
"WDI, PIB pc","wdi_CUB_8","Cuba (1988-1993)","CUB","Cuba",1988,1993,-0.367963306680326,5,2005,17,FALSE
"WDI, PIB pc","wdi_NGA_8","Nigeria (1980-1984)","NGA","Nigeria",1980,1984,-0.36258303598831,4,2009,29,FALSE
"WDI, PIB pc","wdi_NIC_10","Nicaragua (1977-1979)","NIC","Nicaragua",1977,1979,-0.359245987843394,2,NA,NA,FALSE
"WDI, PIB pc","wdi_SLV_2","El Salvador (1978-1986)","SLV","El Salvador",1978,1986,-0.34969059547654,8,2012,34,FALSE
"WDI, PIB pc","wdi_QAT_7","Qatar (1978-1985)","QAT","Qatar",1978,1985,-0.34959648855942,7,2006,28,FALSE
"WDI, PIB pc","wdi_MOZ_1","Mozambique (1981-1986)","MOZ","Mozambique",1981,1986,-0.344070302736099,5,1998,17,FALSE
"WDI, PIB pc","wdi_TTO_6","Trinidad and Tobago (1982-1989)","TTO","Trinidad and Tobago",1982,1989,-0.340843450765157,7,1999,17,FALSE
"WDI, PIB pc","wdi_BLR_1","Belarus (1991-1995)","BLR","Belarus",1991,1995,-0.339126390725369,4,2002,11,FALSE
"WDI, PIB pc","wdi_LBY_10","Libya (1979-1984)","LBY","Libya",1979,1984,-0.336150917643974,5,NA,NA,FALSE
"WDI, PIB pc","wdi_LVA_1","Latvia (1991-1993)","LVA","Latvia",1991,1993,-0.333046243040737,2,2001,10,FALSE
"WDI, PIB pc","wdi_PSE_11","West Bank and Gaza (2022-2024)","PSE","West Bank and Gaza",2022,2024,-0.331575377455946,2,NA,NA,FALSE
"WDI, PIB pc","wdi_IRN_6","Iran, Islamic Rep. (1983-1988)","IRN","Iran, Islamic Rep.",1983,1988,-0.331277566008101,5,2003,20,FALSE
"WDI, PIB pc","wdi_PSE_3","West Bank and Gaza (1999-2002)","PSE","West Bank and Gaza",1999,2002,-0.32782077123067,3,2009,10,FALSE
"WDI, PIB pc","wdi_COG_24","Congo, Rep. (2014-2023)","COG","Congo, Rep.",2014,2023,-0.326114770410381,9,NA,NA,FALSE
"WDI, PIB pc","wdi_AFG_8","Afghanistan (2019-2022)","AFG","Afghanistan",2019,2022,-0.32301188628423,3,NA,NA,FALSE
"WDI, PIB pc","wdi_NER_10","Niger (1979-1984)","NER","Niger",1979,1984,-0.314308891321158,5,NA,NA,FALSE
"WDI, PIB pc","wdi_JAM_2","Jamaica (1972-1980)","JAM","Jamaica",1972,1980,-0.311308834985616,8,NA,NA,FALSE
"WDI, PIB pc","wdi_LBR_13","Liberia (2002-2003)","LBR","Liberia",2002,2003,-0.306993530292511,1,NA,NA,FALSE
"WDI, PIB pc","wdi_LBN_10","Lebanon (2018-2023)","LBN","Lebanon",2018,2023,-0.304466984901718,5,NA,NA,FALSE
"WDI, PIB pc","wdi_CIV_9","Cote d'Ivoire (1978-1984)","CIV","Cote d'Ivoire",1978,1984,-0.303441267670946,6,NA,NA,FALSE
"WDI, PIB pc","wdi_COD_10","Congo, Dem. Rep. (1974-1983)","COD","Congo, Dem. Rep.",1974,1983,-0.302566486646005,9,NA,NA,FALSE
