"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","recovery_year","years_to_recover","is_venezuela"
"FMI WEO, PIB pc","imf_weo_HTI_11","Haiti (2018-2029)","HTI","Haiti",2018,2029,-0.267775118162216,11,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_GRC_9","Greece (2007-2013)","GRC","Greece",2007,2013,-0.267151542905283,6,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_ETH_5","Ethiopia (1987-1992)","ETH","Ethiopia",1987,1992,-0.264757213088112,5,2004,17,FALSE
"FMI WEO, PIB pc","imf_weo_NER_1","Niger (1981-1984)","NER","Niger",1981,1984,-0.262059302878505,3,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_YEM_5","Yemen (2021-2031)","YEM","Yemen",2021,2031,-0.258925438218542,10,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_DJI_1","Djibouti (1991-2001)","DJI","Djibouti",1991,2001,-0.257813978820671,10,2013,22,FALSE
"FMI WEO, PIB pc","imf_weo_QAT_19","Qatar (2011-2020)","QAT","Qatar",2011,2020,-0.255643674634137,9,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_KGZ_1","Kyrgyzstan (1993-1995)","KGZ","Kyrgyzstan",1993,1995,-0.24801466961326,2,2003,10,FALSE
"FMI WEO, PIB pc","imf_weo_LCA_18","Saint Lucia (2018-2020)","LCA","Saint Lucia",2018,2020,-0.24758493258427,2,2022,4,FALSE
"FMI WEO, PIB pc","imf_weo_QAT_1","Qatar (1981-1983)","QAT","Qatar",1981,1983,-0.247135,2,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_KWT_7","Kuwait (2007-2011)","KWT","Kuwait",2007,2011,-0.243663824869233,4,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_AGO_15","Angola (2014-2021)","AGO","Angola",2014,2021,-0.242962379055408,7,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_GNB_6","Guinea-Bissau (1997-1998)","GNB","Guinea-Bissau",1997,1998,-0.240958041958042,1,2011,14,FALSE
"FMI WEO, PIB pc","imf_weo_SDN_10","Sudan (Former) (2011-2013)","SDN","Sudan (Former)",2011,2013,-0.235405303616857,2,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_TGO_5","Togo (1990-1993)","TGO","Togo",1990,1993,-0.234463165843594,3,2018,28,FALSE
"FMI WEO, PIB pc","imf_weo_CIV_5","Côte d'Ivoire (1988-1994)","CIV","Côte d'Ivoire",1988,1994,-0.233616795854476,6,2023,35,FALSE
"FMI WEO, PIB pc","imf_weo_JOR_12","Jordan (2012-2020)","JOR","Jordan",2012,2020,-0.225046689277999,8,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_RWA_3","Rwanda (1986-1991)","RWA","Rwanda",1986,1991,-0.224821622134858,5,2005,19,FALSE
"FMI WEO, PIB pc","imf_weo_LBY_1","Libya (1981-1984)","LBY","Libya",1981,1984,-0.220731204435766,3,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_ARG_9","Argentina (1998-2002)","ARG","Argentina",1998,2002,-0.216623240864843,4,2006,8,FALSE
"FMI WEO, PIB pc","imf_weo_QAT_3","Qatar (1984-1987)","QAT","Qatar",1984,1987,-0.212835635384616,3,2010,26,FALSE
"FMI WEO, PIB pc","imf_weo_CPV_8","Cabo Verde (2019-2020)","CPV","Cabo Verde",2019,2020,-0.211155378486056,1,2023,4,FALSE
"FMI WEO, PIB pc","imf_weo_MMR_2","Myanmar (2019-2021)","MMR","Myanmar",2019,2021,-0.210389930132804,2,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_BLR_1","Belarus (1993-1995)","BLR","Belarus",1993,1995,-0.210153593396875,2,1999,6,FALSE
"FMI WEO, PIB pc","imf_weo_GAB_4","Gabon (1985-1987)","GAB","Gabon",1985,1987,-0.206949304247991,2,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_CIV_7","Côte d'Ivoire (1998-2008)","CIV","Côte d'Ivoire",1998,2008,-0.206481961777714,10,2017,19,FALSE
"FMI WEO, PIB pc","imf_weo_BOL_1","Bolivia (Plurinational State of) (1981-1986)","BOL","Bolivia (Plurinational State of)",1981,1986,-0.205077823437806,5,1998,17,FALSE
"FMI WEO, PIB pc","imf_weo_NAM_6","Namibia (2015-2020)","NAM","Namibia",2015,2020,-0.204992620216429,5,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_NER_5","Niger (1988-1997)","NER","Niger",1988,1997,-0.202078241280027,9,2019,31,FALSE
"FMI WEO, PIB pc","imf_weo_KWT_9","Kuwait (2012-2018)","KWT","Kuwait",2012,2018,-0.201614830678677,6,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_LBR_4","Liberia (2013-2020)","LBR","Liberia",2013,2020,-0.19801376718671,7,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_CYP_8","Cyprus (2008-2014)","CYP","Cyprus",2008,2014,-0.195299664008198,6,2019,11,FALSE
"FMI WEO, PIB pc","imf_weo_RUS_1","Russian Federation (1993-1996)","RUS","Russian Federation",1993,1996,-0.192659950548806,3,2002,9,FALSE
"FMI WEO, PIB pc","imf_weo_GAB_8","Gabon (1998-2004)","GAB","Gabon",1998,2004,-0.191768428551858,6,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_PAN_12","Panama (2019-2020)","PAN","Panama",2019,2020,-0.189526057490068,1,2022,3,FALSE
"FMI WEO, PIB pc","imf_weo_PAN_4","Panama (1986-1989)","PAN","Panama",1986,1989,-0.189447905029703,3,1993,7,FALSE
"FMI WEO, PIB pc","imf_weo_GHA_1","Ghana (1981-1983)","GHA","Ghana",1981,1983,-0.189231529393707,2,1988,7,FALSE
"FMI WEO, PIB pc","imf_weo_VEN_80","Venezuela (2001-2003)","VEN","Venezuela",2001,2003,-0.188975855520166,2,2005,4,TRUE
"FMI WEO, PIB pc","imf_weo_ETH_3","Ethiopia (1983-1985)","ETH","Ethiopia",1983,1985,-0.18860020121238,2,2005,22,FALSE
"FMI WEO, PIB pc","imf_weo_CHL_1","Chile (1981-1983)","CHL","Chile",1981,1983,-0.186751438070071,2,1989,8,FALSE
"FMI WEO, PIB pc","imf_weo_PHL_2","Philippines (1982-1985)","PHL","Philippines",1982,1985,-0.186641230934468,3,2003,21,FALSE
"FMI WEO, PIB pc","imf_weo_LVA_2","Latvia (2007-2010)","LVA","Latvia",2007,2010,-0.186162407128713,3,2015,8,FALSE
"FMI WEO, PIB pc","imf_weo_EST_4","Estonia (2007-2009)","EST","Estonia",2007,2009,-0.185911546067415,2,2015,8,FALSE
"FMI WEO, PIB pc","imf_weo_LSO_4","Lesotho (2016-2020)","LSO","Lesotho",2016,2020,-0.183964383096619,4,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_ARE_3","United Arab Emirates (1987-1988)","ARE","United Arab Emirates",1987,1988,-0.183798882681564,1,1990,3,FALSE
"FMI WEO, PIB pc","imf_weo_BRB_13","Barbados (2017-2020)","BRB","Barbados",2017,2020,-0.180561296583334,3,2022,5,FALSE
"FMI WEO, PIB pc","imf_weo_URY_1","Uruguay (1981-1985)","URY","Uruguay",1981,1985,-0.178814533815694,4,1992,11,FALSE
"FMI WEO, PIB pc","imf_weo_ZMB_1","Zambia (1981-1987)","ZMB","Zambia",1981,1987,-0.177819002553055,6,2012,31,FALSE
"FMI WEO, PIB pc","imf_weo_DMA_14","Dominica (2019-2020)","DMA","Dominica",2019,2020,-0.177424657534247,1,2025,6,FALSE
"FMI WEO, PIB pc","imf_weo_HUN_2","Hungary (1989-1993)","HUN","Hungary",1989,1993,-0.176629798191879,4,2000,11,FALSE
"FMI WEO, PIB pc","imf_weo_SLE_7","Sierra Leone (1990-1992)","SLE","Sierra Leone",1990,1992,-0.173675804967801,2,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_GTM_1","Guatemala (1981-1986)","GTM","Guatemala",1981,1986,-0.17070192381138,5,2005,24,FALSE
"FMI WEO, PIB pc","imf_weo_ZWE_5","Zimbabwe (2018-2020)","ZWE","Zimbabwe",2018,2020,-0.170128048260814,2,2026,8,FALSE
"FMI WEO, PIB pc","imf_weo_LBY_7","Libya (1994-1995)","LBY","Libya",1994,1995,-0.1686545750968,1,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_CAF_5","Central African Republic (1989-1993)","CAF","Central African Republic",1989,1993,-0.166481748311228,4,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_ARG_19","Argentina (2017-2020)","ARG","Argentina",2017,2020,-0.165222648183,3,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_SDN_2","Sudan (Former) (1982-1985)","SDN","Sudan (Former)",1982,1985,-0.164671945955815,3,1995,13,FALSE
"FMI WEO, PIB pc","imf_weo_GMB_2","Gambia (1983-1988)","GMB","Gambia",1983,1988,-0.160918525897468,5,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_BWA_10","Botswana (2008-2009)","BWA","Botswana",2008,2009,-0.158689100954294,1,2013,5,FALSE
"FMI WEO, PIB pc","imf_weo_GNQ_7","Equatorial Guinea (2008-2010)","GNQ","Equatorial Guinea",2008,2010,-0.157699554153522,2,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_IRQ_9","Iraq (2019-2021)","IRQ","Iraq",2019,2021,-0.156223597581996,2,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_MWI_3","Malawi (1985-1989)","MWI","Malawi",1985,1989,-0.155669654050109,4,1997,12,FALSE
"FMI WEO, PIB pc","imf_weo_URY_9","Uruguay (1998-2002)","URY","Uruguay",1998,2002,-0.154430316676656,4,2007,9,FALSE
"FMI WEO, PIB pc","imf_weo_UKR_9","Ukraine (2021-2022)","UKR","Ukraine",2021,2022,-0.154166034018139,1,2026,5,FALSE
"FMI WEO, PIB pc","imf_weo_SYC_13","Seychelles (2019-2021)","SYC","Seychelles",2019,2021,-0.150953344827586,2,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_IRQ_11","Iraq (2022-2026)","IRQ","Iraq",2022,2026,-0.150705353079898,4,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_MNE_6","Montenegro (2019-2020)","MNE","Montenegro",2019,2020,-0.15,1,2022,3,FALSE
"Maddison, PIB pc","maddison_LBR_50","Liberia (1979-1995)","LBR","Liberia",1979,1995,-0.916942347997066,16,NA,NA,FALSE
"Maddison, PIB pc","maddison_GEO_4","Georgia (1988-1994)","GEO","Georgia",1988,1994,-0.76382706560621,6,NA,NA,FALSE
"Maddison, PIB pc","maddison_IRQ_20","Iraq (1987-1991)","IRQ","Iraq",1987,1991,-0.749051209057368,4,2004,17,FALSE
"Maddison, PIB pc","maddison_QAT_18","Qatar (1980-1990)","QAT","Qatar",1980,1990,-0.744766681203663,10,2001,21,FALSE
"Maddison, PIB pc","maddison_VEN_84","Venezuela (2012-2020)","VEN","Venezuela",2012,2020,-0.740142005551907,8,NA,NA,TRUE
"Maddison, PIB pc","maddison_TJK_5","Tajikistan (1988-1997)","TJK","Tajikistan",1988,1997,-0.718471013568354,9,NA,NA,FALSE
"Maddison, PIB pc","maddison_LBN_12","Lebanon (1973-1976)","LBN","Lebanon",1973,1976,-0.70918185066095,3,2003,30,FALSE
"Maddison, PIB pc","maddison_AFG_14","Afghanistan (1986-1994)","AFG","Afghanistan",1986,1994,-0.681231727463138,8,2009,23,FALSE
"Maddison, PIB pc","maddison_MDA_6","Republic of Moldova (1989-1996)","MDA","Republic of Moldova",1989,1996,-0.678703669108107,7,NA,NA,FALSE
"Maddison, PIB pc","maddison_AZE_2","Azerbaijan (1988-1995)","AZE","Azerbaijan",1988,1995,-0.678460651251502,7,2006,18,FALSE
"Maddison, PIB pc","maddison_MNE_19","Montenegro (1986-1993)","MNE","Montenegro",1986,1993,-0.628250268580291,7,2004,18,FALSE
