"date","year","gdp_growth","gdp_pc_growth","gdp_index","gdp_pc_index","population"
1830-12-31,1830,0,0,100,100,891857
1831-12-31,1831,0.207547169811321,0.174549162490242,120.754716981132,117.454916249024,916913
1832-12-31,1832,-0.015625,-0.0445142527121556,118.867924528302,112.22649842483,944636
1833-12-31,1833,0,-0.031294576338277,118.867924528302,108.714417702697,975153
1834-12-31,1834,0.0317460317460319,-0.000541160481756009,122.641509433962,108.655585756039,1006655
1835-12-31,1835,0.0461538461538462,0.0134144745452165,128.301886792453,110.113143345359,1039176
1836-12-31,1836,0.382352941176471,0.339094249710556,177.358490566038,147.451877071324,1072746
1837-12-31,1837,-0.0212765957446809,-0.0519047598645148,173.584905660377,139.798422800365,1107401
1838-12-31,1838,-0.0326086956521739,-0.0628826201511519,167.924528301887,131.00753168168,1143176
1839-12-31,1839,0.191011235955056,0.159481836825306,200,151.900853472223,1174262
1840-12-31,1840,-0.00943396226415094,-0.0310521902804226,198.11320754717,147.183999266445,1200461
1841-12-31,1841,0.171428571428571,0.151190738344431,232.075471698113,169.436856788025,1221565
1842-12-31,1842,0.089430894308943,0.0755233520423744,252.830188679245,182.233296172181,1237361
1843-12-31,1843,-0.17910447761194,-0.185859151430987,207.547169811321,148.363570383147,1247627
1844-12-31,1844,0.109090909090909,0.0999641199386985,230.188679245283,163.194604127462,1257979
1845-12-31,1845,0.0573770491803278,0.0486765563906637,243.396226415094,171.138355477924,1268416
1846-12-31,1846,0.054263565891473,0.0455875409372277,256.603773584906,178.940132264204,1278941
1847-12-31,1847,-0.213235294117647,-0.219709139526066,201.88679245283,139.625349777755,1289552
1848-12-31,1848,0.0747663551401869,0.0659227355362448,216.981132075472,148.82983478531,1300251
1849-12-31,1849,-0.0173913043478261,-0.0260391561413245,213.207547169811,144.954431478848,1311796
1850-12-31,1850,0.265486725663717,0.253631755888088,269.811320754717,181.719478458587,1324201
1851-12-31,1851,0.013986013986014,0.00263164695432661,273.584905660377,182.197699970615,1339197
1852-12-31,1852,-0.186206896551724,-0.195770356647874,222.641509433962,146.528791266945,1355122
1853-12-31,1853,0.23728813559322,0.224138190686545,275.471698113207,179.371489425005,1369679
1854-12-31,1854,0.047945205479452,0.0368086336128233,288.679245283019,185.973908859836,1384391
1855-12-31,1855,0.111111111111111,0.0993048622322403,320.754716981132,204.442022257953,1399259
1856-12-31,1856,-0.111764705882353,-0.121200474437036,284.905660377358,179.663552165422,1414283
1857-12-31,1857,-0.125827814569536,-0.135113394763816,249.056603773585,155.388599717026,1429467
1858-12-31,1858,0.242424242424242,0.229228754014678,309.433962264151,191.008134818246,1444812
1859-12-31,1859,-0.237804878048781,-0.245898561522116,235.849056603774,144.039509227417,1460319
1860-12-31,1860,0.12,0.108107894966839,264.150943396226,159.611317362049,1475991
1861-12-31,1861,0.221428571428572,0.208462897220273,322.641509433962,192.884355008487,1491827
1862-12-31,1862,-0.146198830409357,-0.155261569308185,275.471698113208,162.936827354872,1507832
1863-12-31,1863,0.0136986301369864,0.00294108803889248,279.245283018868,163.4160389089,1524005
1864-12-31,1864,0.0067567567567568,-0.0039255187745888,281.132075471698,162.774546180095,1540349
1865-12-31,1865,0.147651006711409,0.13547469407272,322.641509433962,184.826378026669,1556867
1866-12-31,1866,-0.134502923976608,-0.14368394432156,279.245283018868,158.269795017129,1573559
1867-12-31,1867,-0.0945945945945946,-0.104197285179185,252.830188679245,141.778512050478,1590427
1868-12-31,1868,-0.104477611940298,-0.113975032224683,226.415094339623,125.619301570757,1607475
1869-12-31,1869,0.125,0.109934348865214,254.716981132076,139.429177693841,1629294
1870-12-31,1870,0.037037037037037,0.0220033147955601,264.150943396226,142.497081782325,1653261
1871-12-31,1871,-0.114285714285714,-0.125918729397704,233.962264150943,124.554030301414,1675264
1872-12-31,1872,0.193548387096774,0.176688224083128,279.245283018868,146.561260717767,1699268
1873-12-31,1873,0.0743243243243243,0.0581316719601004,300,155.081111847871,1725272
1874-12-31,1874,0.257861635220126,0.237770584391446,377.358490566038,191.954838440014,1753276
1875-12-31,1875,-0.045,-0.0615947936451713,360.377358490566,180.13141977711,1784281
1876-12-31,1876,0.12565445026178,0.105819154124152,405.660377358491,199.192774249106,1816286
1877-12-31,1877,-0.153488372093023,-0.168596387153427,343.396226415094,165.609592163638,1849291
