"country_code","maddison_country","region","series_id","series_label","episode_id","episode_label","phase","start_year","end_year","start_date","end_date","duration_years","average_growth","cumulative_growth","start_index_value","end_index_value","episode_index_end_100"
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",1,"1980-1984","expansion",1980,1984,"1980-01-01","1984-01-01",4,0.04,0.1685878204,103.3,120.71512184732,116.85878204
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",2,"1984-1985","contraction",1984,1985,"1984-01-01","1985-01-01",1,-0.001,-0.001,120.71512184732,120.594406725473,99.9
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",3,"1985-1987","expansion",1985,1987,"1985-01-01","1987-01-01",2,0.016,0.0321920000000002,120.594406725473,124.476581866779,103.2192
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",4,"1987-1992","contraction",1987,1992,"1987-01-01","1992-01-01",5,-0.0672,-0.29715595234048,124.476581866779,87.4876246380686,70.284404765952
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",5,"1992-1996","expansion",1992,1996,"1992-01-01","1996-01-01",4,0.041,0.173509495865,87.4876246380686,102.667558283446,117.3509495865
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",6,"1996-1999","contraction",1996,1999,"1996-01-01","1999-01-01",3,-0.0403333333333333,-0.116799136,102.667558283446,90.6760761807101,88.3200864
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",7,"1999-2008","expansion",1999,2008,"1999-01-01","2008-01-01",9,0.0618888888888889,0.71212785698191,90.6760761807101,155.249035990808,171.212785698191
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",8,"2008-2010","contraction",2008,2010,"2008-01-01","2010-01-01",2,-0.047,-0.091855,155.249035990808,140.988635789872,90.8145
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",9,"2010-2019","expansion",2010,2019,"2010-01-01","2019-01-01",9,0.0383333333333333,0.400355882184765,140.988635789872,197.434265449553,140.035588218477
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",10,"2019-2020","contraction",2019,2020,"2019-01-01","2020-01-01",1,-0.036,-0.036,197.434265449553,190.326631893369,96.4
"ROU","Romania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",11,"2020-2031","expansion",2020,2031,"2020-01-01","2031-01-01",11,0.0260909090909091,0.326124786613387,190.326631893369,252.396864106438,132.612478661339
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",1,"1993-1996","contraction",1993,1996,"1993-01-01","1996-01-01",3,-0.068,-0.192932452,91.3,73.6852671324,80.7067548
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",2,"1996-1997","expansion",1996,1997,"1996-01-01","1997-01-01",1,0.014,0.014,73.6852671324,74.7168608722536,101.4
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",3,"1997-1998","contraction",1997,1998,"1997-01-01","1998-01-01",1,-0.053,-0.053,74.7168608722536,70.7568672460242,94.7
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",4,"1998-2008","expansion",1998,2008,"1998-01-01","2008-01-01",10,0.0691,0.948400297436154,70.7568672460242,137.862701187804,194.840029743615
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",5,"2008-2009","contraction",2008,2009,"2008-01-01","2009-01-01",1,-0.078,-0.078,137.862701187804,127.109410495155,92.2
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",6,"2009-2014","expansion",2009,2014,"2009-01-01","2014-01-01",5,0.03,0.158671214272,127.109410495155,147.27801500382,115.8671214272
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",7,"2014-2015","contraction",2014,2015,"2014-01-01","2015-01-01",1,-0.02,-0.0199999999999999,147.27801500382,144.332454703743,98
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",8,"2015-2019","expansion",2015,2019,"2015-01-01","2019-01-01",4,0.0175,0.0716661421760001,144.332454703743,154.676204923153,107.1666142176
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",9,"2019-2020","contraction",2019,2020,"2019-01-01","2020-01-01",1,-0.027,-0.027,154.676204923153,150.499947390228,97.3
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",10,"2020-2021","expansion",2020,2021,"2020-01-01","2021-01-01",1,0.059,0.0589999999999999,150.499947390228,159.379444286251,105.9
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",11,"2021-2022","contraction",2021,2022,"2021-01-01","2022-01-01",1,-0.014,-0.0140000000000001,159.379444286251,157.148132066244,98.6
"RUS","Russian Federation","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",12,"2022-2031","expansion",2022,2031,"2022-01-01","2031-01-01",9,0.018,0.173100980547733,157.148132066244,184.350627818155,117.310098054773
